Time,City,District,Longitude,Latitude,Geohash
109年03月27日 11時21分00秒,高雄市,永安區,120.220185,22.820284,wsj3zdm9v370
109年04月22日 12時12分00秒,高雄市,永安區,120.237131,22.837014,wsj9bj650pzn
109年04月26日 21時24分00秒,高雄市,永安區,120.243256,22.799188,wsj98nqqyuwj
109年09月28日 18時46分00秒,高雄市,永安區,120.236113,22.828358,wsj9b5c2b6rg
109年12月29日 17時46分00秒,高雄市,永安區,120.246524,22.808250,wsj9b20gejfy
109年04月06日 21時36分00秒,高雄市,湖內區,120.250300,22.880500,wsjd0m78e46d
109年05月16日 06時11分00秒,高雄市,湖內區,120.253713,22.888582,wsjd0qwpdsgm
109年06月10日 07時01分00秒,高雄市,湖內區,120.248329,22.882424,wsjd0md5v1hb
109年02月02日 20時39分00秒,高雄市,燕巢區,120.416600,22.780990,wsj9s5hsyhkf
109年02月12日 14時59分00秒,高雄市,燕巢區,120.350645,22.791981,wsj9dthsvm1n
109年03月02日 10時54分00秒,高雄市,燕巢區,120.384436,22.770737,wsj9e3m30tj9
109年03月11日 02時00分00秒,高雄市,燕巢區,120.334864,22.794076,wsj9dm91jedp
109年07月02日 04時00分31秒,高雄市,燕巢區,120.382253,22.759619,wsj97r78mu3z
109年07月05日 23時21分00秒,高雄市,燕巢區,120.351545,22.785971,wsj9dsj3fkb7
109年09月10日 14時45分00秒,高雄市,燕巢區,120.360175,22.758936,wsj96z5s7m5m
109年02月22日 02時32分16秒,高雄市,田寮區,120.437320,22.795617,wsj9stgf0gnb
109年07月14日 12時02分00秒,高雄市,田寮區,120.381735,22.851159,wsj9grgm9sz9
109年10月30日 11時35分33秒,高雄市,田寮區,120.381735,22.851159,wsj9grgm9sz9
109年02月28日 07時16分00秒,高雄市,甲仙區,120.558638,23.061431,wsjepqhnefk4
109年07月20日 14時15分00秒,高雄市,甲仙區,120.563829,23.063221,wsjepqxchb48
109年12月04日 06時48分00秒,高雄市,甲仙區,120.590400,23.082360,wsjg2450rzz2
109年01月07日 17時40分00秒,高雄市,美濃區,120.500000,22.886560,wsjdnn37vs02
109年02月15日 14時37分00秒,高雄市,美濃區,120.553800,22.885630,wsjdpq0w7nss
109年03月16日 13時19分00秒,高雄市,美濃區,120.554400,22.881760,wsjdpm3pcj5z
109年04月24日 07時06分00秒,高雄市,美濃區,120.582300,22.869520,wsjdpgm2e5x8
109年05月07日 15時51分00秒,高雄市,美濃區,120.540100,22.874760,wsjdnunx5um4
109年10月20日 06時40分00秒,高雄市,美濃區,120.571400,22.880270,wsjdptjrjr2n
109年01月24日 04時23分00秒,高雄市,苓雅區,120.300289,22.612522,wsj89krzrzt5
109年03月28日 15時10分00秒,高雄市,苓雅區,120.302152,22.613147,wsj89s975k4h
109年06月18日 16時50分00秒,高雄市,苓雅區,120.324510,22.622030,wsj8dn1wuk19
109年09月01日 08時23分00秒,高雄市,苓雅區,120.327137,22.614689,wsj8dhgs1e86
109年02月24日 02時10分00秒,高雄市,茄萣區,120.185700,22.915160,wsj6qgsd3z3m
109年03月05日 13時46分00秒,高雄市,茄萣區,120.190537,22.879610,wsj6pj056s2j
109年04月19日 16時51分00秒,高雄市,茄萣區,120.192800,22.872260,wsj6p5c8x4r3
109年06月09日 00時13分00秒,高雄市,茄萣區,120.202500,22.880650,wsj6pm2c3q23
109年07月21日 06時29分00秒,高雄市,茄萣區,120.181400,22.895640,wsj6qb12v8du
109年11月04日 10時55分00秒,高雄市,茄萣區,120.188100,22.881010,wsj6nvq799qv
109年12月23日 03時21分00秒,高雄市,茄萣區,120.187154,22.913735,wsj6qgmd5tv3
109年01月15日 00時15分00秒,高雄市,路竹區,120.267464,22.822911,wsj9bfb154bz
109年10月04日 15時20分00秒,高雄市,路竹區,120.227700,22.860070,wsj6pce1s3yv
109年10月22日 12時15分00秒,高雄市,路竹區,120.275403,22.886902,wsjd0ymvu5b8
109年10月24日 10時10分00秒,高雄市,路竹區,120.270334,22.880100,wsjd0v4njzub
109年12月01日 15時55分00秒,高雄市,路竹區,120.268000,22.870010,wsjd0g27rwbe
109年04月17日 20時07分00秒,高雄市,阿蓮區,120.307610,22.877847,wsjd1sv347zc
109年05月18日 09時37分00秒,高雄市,阿蓮區,120.327300,22.882810,wsjd4jewj2cy
109年08月18日 07時50分00秒,高雄市,阿蓮區,120.310600,22.889840,wsjd1wzwbpmq
109年10月13日 10時50分00秒,高雄市,阿蓮區,120.333500,22.886190,wsjd4q21tz0c
109年10月24日 18時13分00秒,高雄市,阿蓮區,120.305000,22.867710,wsjd1dgqjdjg
109年12月29日 11時17分00秒,高雄市,阿蓮區,120.346107,22.880565,wsjd4t32gw3q
109年02月03日 16時52分00秒,高雄市,鳥松區,120.343007,22.650440,wsj8f7rh7k1c
109年05月11日 17時13分00秒,高雄市,鳥松區,120.338572,22.656819,wsj8fkececnv
109年05月17日 06時45分00秒,高雄市,鳥松區,120.364106,22.659154,wsj8fuyrnuqq
